,track_x,track_y,dist,bpm_inc,key_x,mode_x,instrumentalness_x,speechiness_x,key_y,mode_y,instrumentalness_y,speechiness_y
0,What So Not - Goh (AC Slater Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.007910048,0.042366305,6,1,0.92,0.062,7,1,0.00134,0.231
1,Disclosure - When A Fire Starts To Burn.mp3,What So Not - Goh (AC Slater Remix).mp3,0.007910048,0.042366305,7,1,0.00134,0.231,6,1,0.92,0.062
2,Justice - D.A.N.C.E.mp3,Backstreet Boys - I Want It That Way.mp3,0.009291379,0.141208309,6,0,0,0.278,6,0,0,0.0261
3,Backstreet Boys - I Want It That Way.mp3,Justice - D.A.N.C.E.mp3,0.009291379,0.141208309,6,0,0,0.0261,6,0,0,0.278
4,J Balvin - Mi Gente.mp3,Dillon Francis - Need You.mp3,0.009651856,0.066711764,11,0,1.17E-05,0.0584,4,0,0.0545,0.196
5,Dillon Francis - Need You.mp3,J Balvin - Mi Gente.mp3,0.009651856,0.066711764,4,0,0.0545,0.196,11,0,1.17E-05,0.0584
6,"Daft Punk - Harder, Better, Faster, Stronger.mp3",Justice - D.A.N.C.E.mp3,0.011667779,0.092554086,6,0,0.00263,0.144,6,0,0,0.278
7,Justice - D.A.N.C.E.mp3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",0.011667779,0.092554086,6,0,0,0.278,6,0,0.00263,0.144
8,RL Grime - Pressure (Valentino Khan Remix).mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.012140668,0.024097524,2,1,0.284,0.174,9,1,0,0.0619
9,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.012140668,0.024097524,9,1,0,0.0619,2,1,0.284,0.174
10,Disclosure - Omen (Jonas Rathsman Remix).mp3,Claptone - Cream.mp3,0.012201841,0.033314723,5,0,0.854,0.0336,1,1,0.911,0.0586
11,Claptone - Cream.mp3,Disclosure - Omen (Jonas Rathsman Remix).mp3,0.012201841,0.033314723,1,1,0.911,0.0586,5,0,0.854,0.0336
12,Dillon Francis - EDM O'CLOCK.mp3,Beyonce - Formation.mp3,0.012490719,0.008862101,1,1,0.124,0.109,5,0,0,0.237
13,Beyonce - Formation.mp3,Dillon Francis - EDM O'CLOCK.mp3,0.012490719,0.008862101,5,0,0,0.237,1,1,0.124,0.109
14,Four Tet - Baby.mp3,Four Tet - Planet.mp3,0.012651339,0.000653631,0,1,0.00325,0.248,0,1,0.862,0.0747
15,Four Tet - Planet.mp3,Four Tet - Baby.mp3,0.012651339,0.000653631,0,1,0.862,0.0747,0,1,0.00325,0.248
16,Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,Travis Scott - SICKO MODE.mp3,0.013039773,0.033186917,11,1,8.23E-05,0.272,8,1,0,0.222
17,Travis Scott - SICKO MODE.mp3,Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,0.013039773,0.033186917,8,1,0,0.222,11,1,8.23E-05,0.272
18,Four Tet - Baby.mp3,Skrillex - Midnight Hour.mp3,0.013189717,0.008636429,0,1,0.00325,0.248,0,1,0.000392,0.0685
19,Skrillex - Midnight Hour.mp3,Four Tet - Baby.mp3,0.013189717,0.008636429,0,1,0.000392,0.0685,0,1,0.00325,0.248
20,Tchami - Prophecy.mp3,ODESZA - Loyal.mp3,0.013375673,0.119616345,11,1,0.772,0.0487,2,1,0.781,0.0745
21,ODESZA - Loyal.mp3,Tchami - Prophecy.mp3,0.013375673,0.119616345,2,1,0.781,0.0745,11,1,0.772,0.0487
22,Backstreet Boys - Everybody (Backstreet's Back).mp3,FISHER - You Little Beauty.mp3,0.013734286,0.147804594,10,0,3.27E-06,0.0402,6,0,0.452,0.0924
23,FISHER - You Little Beauty.mp3,Backstreet Boys - Everybody (Backstreet's Back).mp3,0.013734286,0.147804594,6,0,0.452,0.0924,10,0,3.27E-06,0.0402
24,Denzel Curry - SPEEDBOAT.mp3,Four Tet - Only Human.mp3,0.01406238,0.058139826,6,1,0,0.131,10,0,0.138,0.0691
25,Four Tet - Only Human.mp3,Denzel Curry - SPEEDBOAT.mp3,0.01406238,0.058139826,10,0,0.138,0.0691,6,1,0,0.131
26,Drake - Get It Together.mp3,Seven Lions - Strangers.mp3,0.014107764,0.056547788,5,0,0.391,0.0514,0,0,1.60E-06,0.0394
27,Seven Lions - Strangers.mp3,Drake - Get It Together.mp3,0.014107764,0.056547788,0,0,1.60E-06,0.0394,5,0,0.391,0.0514
28,Bicep - Just.mp3,Four Tet - Planet.mp3,0.014248521,0.05817403,7,1,0.669,0.0599,0,1,0.862,0.0747
29,Four Tet - Planet.mp3,Bicep - Just.mp3,0.014248521,0.05817403,0,1,0.862,0.0747,7,1,0.669,0.0599
30,Backstreet Boys - I Want It That Way.mp3,Getter - Something New.mp3,0.014975334,0.100136641,6,0,0,0.0261,6,0,0.103,0.0941
31,Getter - Something New.mp3,Backstreet Boys - I Want It That Way.mp3,0.014975334,0.100136641,6,0,0.103,0.0941,6,0,0,0.0261
32,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Chris Lake - I Want You.mp3,0.014985947,0.015938032,9,1,0,0.0619,11,0,0.351,0.0712
33,Chris Lake - I Want You.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.014985947,0.015938032,11,0,0.351,0.0712,9,1,0,0.0619
34,RL Grime - Pressure (Valentino Khan Remix).mp3,Skrillex - Midnight Hour.mp3,0.014995727,0.000269888,2,1,0.284,0.174,0,1,0.000392,0.0685
35,Skrillex - Midnight Hour.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.014995727,0.000269888,0,1,0.000392,0.0685,2,1,0.284,0.174
36,Kid Cudi - Pursuit of Happiness.mp3,Jamie xx - SeeSaw (Club Version).mp3,0.015053554,0.084448763,0,1,9.29E-05,0.0414,9,0,0.934,0.0438
37,Jamie xx - SeeSaw (Club Version).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.015053554,0.084448763,9,0,0.934,0.0438,0,1,9.29E-05,0.0414
38,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.015167372,0.120771869,9,0,0.82,0.0368,0,1,9.29E-05,0.0414
39,Kid Cudi - Pursuit of Happiness.mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.015167372,0.120771869,0,1,9.29E-05,0.0414,9,0,0.82,0.0368
40,Hannah Wants  - Rhymes.mp3,Disclosure - Holding On.mp3,0.015283224,0.016007548,5,1,0.00315,0.0766,5,1,0.000246,0.333
41,Disclosure - Holding On.mp3,Hannah Wants  - Rhymes.mp3,0.015283224,0.016007548,5,1,0.000246,0.333,5,1,0.00315,0.0766
42,Tchami - Missing You.mp3,What So Not - Goh (AC Slater Remix).mp3,0.015496887,0.017348726,8,1,0.00899,0.0564,6,1,0.92,0.062
43,What So Not - Goh (AC Slater Remix).mp3,Tchami - Missing You.mp3,0.015496887,0.017348726,6,1,0.92,0.062,8,1,0.00899,0.0564
44,Kanye West - Flashing Lights.mp3,Backstreet Boys - I Want It That Way.mp3,0.016009059,0.094482881,6,0,0,0.0399,6,0,0,0.0261
45,Backstreet Boys - I Want It That Way.mp3,Kanye West - Flashing Lights.mp3,0.016009059,0.094482881,6,0,0,0.0261,6,0,0,0.0399
46,Tchami - Missing You.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.016172279,0.024590957,8,1,0.00899,0.0564,7,1,0.00134,0.231
47,Disclosure - When A Fire Starts To Burn.mp3,Tchami - Missing You.mp3,0.016172279,0.024590957,7,1,0.00134,0.231,8,1,0.00899,0.0564
48,Justice - D.A.N.C.E.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.016598871,0.088765872,6,0,0,0.278,9,1,0,0.0619
49,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Justice - D.A.N.C.E.mp3,0.016598871,0.088765872,9,1,0,0.0619,6,0,0,0.278
50,Travis Scott - goosebumps.m4a,Dog Blood - TURN OFF THE LIGHTS.mp3,0.016738571,0.015793544,7,1,0,0.0484,11,0,0.717,0.0594
51,Dog Blood - TURN OFF THE LIGHTS.mp3,Travis Scott - goosebumps.m4a,0.016738571,0.015793544,11,0,0.717,0.0594,7,1,0,0.0484
52,Disclosure - When A Fire Starts To Burn.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.016872967,0.032908962,7,1,0.00134,0.231,11,0,0.717,0.0594
53,Dog Blood - TURN OFF THE LIGHTS.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.016872967,0.032908962,11,0,0.717,0.0594,7,1,0.00134,0.231
54,Cardi B - I Like It (Dillon Francis Remix).mp3,Beyoncé - Drunk in Love.mp3,0.016949845,0.072363065,5,0,1.49E-05,0.149,5,0,0.00104,0.0468
