Id,Label,BPM,eigenvector_centrality
Flashing Lights,Flashing Lights,90.48200000000001,0.001407790883562629
Holding On,Holding On,124.00399999999999,0.035803503146438875
Latch,Latch,121.986,0.0780056597576142
Baby,Baby,127.066,0.16671912363247404
Patty Cake,Patty Cake,152.094,0.005116085514268778
Wake,Wake,119.99700000000001,0.056764467097154915
Formation,Formation,121.96600000000001,0.07874126716011721
Unfaith,Unfaith,132.05,0.04668872867546838
You Are Going to Love Me and Scream,You Are Going to Love Me and Scream,124.978,0.004798493347270499
Snowchild,Snowchild,148.03799999999998,0.00570859324537558
Fly Kicks (Wax Motif Remix),Fly Kicks (Wax Motif Remix),125.024,0.0029398253107167783
I Like It (Dillon Francis Remix),I Like It (Dillon Francis Remix),150.16299999999998,0.007299898452085211
When A Fire Starts To Burn,When A Fire Starts To Burn,123.948,0.2708301409307712
I Want You,I Want You,125.008,0.15780220714795307
Y.O.D.O,Y.O.D.O,124.023,0.004027167641263802
Cream,Cream,120.007,0.008875324400854707
Nice For What,Nice For What,93.39399999999999,0.0030236571821411866
Losing It,Losing It,125.0,-1.6201666057006075e-17
Rhythm Of The Night (Blonde Remix),Rhythm Of The Night (Blonde Remix),123.046875,0.023533396188613234
Omen (Jonas Rathsman Remix),Omen (Jonas Rathsman Remix),124.005,0.0018477149975068467
Stimulation,Stimulation,128.998,0.043977277312972386
Going Bad,Going Bad,86.00299999999999,1.732197032611986e-05
Pony,Pony,142.024,0.054386899873313285
You Little Beauty,You Little Beauty,123.98700000000001,0.10977288828685777
Get Low,Get Low,101.03299999999999,0.011910424473165357
Holdin' On,Holdin' On,90.053,0.0001860019531770978
Never Be Like You (Disclosure Remix),Never Be Like You (Disclosure Remix),119.984,0.08798399198065507
You & Me,You & Me,150.13,0.006672487520928539
Burns,Burns,123.993,0.002415958408434311
Mi Gente,Mi Gente,104.959,0.03043244067960833
Pay For What,Pay For What,148.02100000000002,7.54646432213221e-05
D.A.N.C.E,D.A.N.C.E,113.015,0.17099053858636515
Genesis,Genesis,117.055,0.15375256101430743
Don't Go (Dusky Remix),Don't Go (Dusky Remix),123.072,0.15105162030454955
Limit To Your Love (Club remix),Limit To Your Love (Club remix),123.046875,0.08871004544087073
HUMBLE (Skrillex Remix),HUMBLE (Skrillex Remix),150.029,0.010865229824987926
Pursuit of Happiness,Pursuit of Happiness,115.277,0.06692703501454479
Notorious,Notorious,123.02799999999999,0.009570577210290586
Sexual Healing (Kygo Remix),Sexual Healing (Kygo Remix),100.98700000000001,1.14418509845958e-05
Cry Me a River,Cry Me a River,147.768,0.005026873686837253
0 To 100,0 To 100,88.309,0.0002826523834324987
Body Funk (Dom Dolla Remix),Body Funk (Dom Dolla Remix),124.00299999999999,0.015920322576445708
Bloom (Lane 8 Remix),Bloom (Lane 8 Remix),124.99600000000001,0.08558900017915948
Loyal,Loyal,139.961,0.02544743704386081
Easy.m4a,Easy.m4a,127.988,0.022369174994590433
Tell Me,Tell Me,140.05100000000002,0.005425729568363388
Underwater (Adam Port Remix),Underwater (Adam Port Remix),118.016,0.16990381535100255
Strangers,Strangers,129.967,0.07347439398877484
The Difference,The Difference,159.96,0.007613206324585294
Prophecy,Prophecy,125.008,0.08515664469781815
SICKO MODE,SICKO MODE,155.00799999999998,0.014028446825108523
Play That Funky Music (Gordo Edit),Play That Funky Music (Gordo Edit),123.046875,0.22724937261768482
