,track_x,track_y,dist,bpm_inc,key_x,mode_x,instrumentalness_x,speechiness_x,key_y,mode_y,instrumentalness_y,speechiness_y
0,What So Not - Goh (AC Slater Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.007910048223668035,0.04236630522477183,6,1,0.92,0.062,7,1,0.00134,0.231
1,Justice - D.A.N.C.E.mp3,Backstreet Boys - I Want It That Way.mp3,0.009291379286131937,0.14120830850945654,6,0,0.0,0.278,6,0,0.0,0.0261
2,J Balvin - Mi Gente.mp3,Dillon Francis - Need You.mp3,0.009651855532429159,0.06671176364104074,11,0,1.17e-05,0.0584,4,0,0.0545,0.196
3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",Justice - D.A.N.C.E.mp3,0.011667778843822434,0.0925540857408308,6,0,0.00263,0.14400000000000002,6,0,0.0,0.278
4,RL Grime - Pressure (Valentino Khan Remix).mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.012140667601870336,0.024097523809523808,2,1,0.284,0.174,9,1,0.0,0.0619
5,Disclosure - Omen (Jonas Rathsman Remix).mp3,Claptone - Cream.mp3,0.012201841191629691,0.033314723307806965,5,0,0.8540000000000001,0.0336,1,1,0.911,0.0586
6,Dillon Francis - EDM O'CLOCK.mp3,Beyonce - Formation.mp3,0.012490718945245286,0.00886210091336923,1,1,0.124,0.109,5,0,0.0,0.237
7,Four Tet - Baby.mp3,Four Tet - Planet.mp3,0.012651338668948905,0.0006536308009734581,0,1,0.00325,0.248,0,1,0.862,0.0747
8,Kendrick Lamar – HUMBLE (Skrillex Remix).mp3,Travis Scott - SICKO MODE.mp3,0.013039772584607064,0.03318691719600867,11,1,8.23e-05,0.272,8,1,0.0,0.222
9,Four Tet - Baby.mp3,Skrillex - Midnight Hour.mp3,0.013189717133348874,0.008636428582768484,0,1,0.00325,0.248,0,1,0.000392,0.0685
10,Tchami - Prophecy.mp3,ODESZA - Loyal.mp3,0.013375673095217241,0.11961634455394868,11,1,0.772,0.0487,2,1,0.7809999999999999,0.0745
11,Backstreet Boys - Everybody (Backstreet's Back).mp3,FISHER - You Little Beauty.mp3,0.01373428576772077,0.147804593551254,10,0,3.27e-06,0.0402,6,0,0.452,0.0924
12,Denzel Curry - SPEEDBOAT.mp3,Four Tet - Only Human.mp3,0.014062379563894415,0.05813982553053211,6,1,0.0,0.131,10,0,0.138,0.0691
