Track x,Track y,Harmonic distance,BPM increase,
Disclosure - When A Fire Starts To Burn.mp3,What So Not - Goh (AC Slater Remix).mp3,0.0079,0.0424,
Justice - D.A.N.C.E.mp3,Backstreet Boys - I Want It That Way.mp3,0.0093,0.1412,
Dillon Francis - Need You.mp3,J Balvin - Mi Gente.mp3,0.0097,0.0667,
Justice - D.A.N.C.E.mp3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",0.0117,0.0926,
RL Grime - Pressure (Valentino Khan Remix).mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.0121,0.0241,
Disclosure - Omen (Jonas Rathsman Remix).mp3,Claptone - Cream.mp3,0.0122,0.0333,
Dillon Francis - EDM O'CLOCK.mp3,Beyonce - Formation.mp3,0.0125,0.0089,
Four Tet - Baby.mp3,Four Tet - Planet.mp3,0.0127,0.0007,
Juelz - Defqon Bounce.mp3,J Balvin - Mi Gente.mp3,0.0129,0.0933,
Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,Travis Scott - SICKO MODE.mp3,0.0130,0.0332,
Skrillex - Midnight Hour.mp3,Four Tet - Baby.mp3,0.0132,0.0086,
Tchami - Prophecy.mp3,ODESZA - Loyal.mp3,0.0134,0.1196,
Backstreet Boys - Everybody (Backstreet's Back).mp3,FISHER - You Little Beauty.mp3,0.0137,0.1478,
Four Tet - Only Human.mp3,Denzel Curry - SPEEDBOAT.mp3,0.0141,0.0581,
Seven Lions - Strangers.mp3,Drake - Get It Together.mp3,0.0141,0.0565,
Bicep - Just.mp3,Four Tet - Planet.mp3,0.0142,0.0582,
Getter - Something New.mp3,Backstreet Boys - I Want It That Way.mp3,0.0150,0.1001,
Chris Lake - I Want You.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.0150,0.0159,
RL Grime - Pressure (Valentino Khan Remix).mp3,Skrillex - Midnight Hour.mp3,0.0150,0.0003,
Jamie xx - SeeSaw (Club Version).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.0151,0.0844,
Kid Cudi - Pursuit of Happiness.mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.0152,0.1208,
Tale of Us - Cafe del Mar.mp3,Mathame - Magia.wav,0.015175268,0.015840508,
Disclosure - Holding On.mp3,Hannah Wants  - Rhymes.mp3,0.015283224,0.016007548,
Tchami - Missing You.mp3,What So Not - Goh (AC Slater Remix).mp3,0.015496887,0.017348726,
Backstreet Boys - I Want It That Way.mp3,Kanye West - Flashing Lights.mp3,0.016009059,0.094482881,
