track_x,track_y,dist,bpm_inc
Disclosure - When A Fire Starts To Burn.mp3,What So Not - Goh (AC Slater Remix).mp3,0.007910048223668035,0.042366305224771826
What So Not - Goh (AC Slater Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.007910048223668035,0.042366305224771826
Justice - D.A.N.C.E.mp3,Backstreet Boys - I Want It That Way.mp3,0.009291379286131937,0.14120830850945656
Backstreet Boys - I Want It That Way.mp3,Justice - D.A.N.C.E.mp3,0.009291379286131937,0.14120830850945656
Dillon Francis - Need You.mp3,J Balvin - Mi Gente.mp3,0.009651855532429162,0.06671176364104074
J Balvin - Mi Gente.mp3,Dillon Francis - Need You.mp3,0.009651855532429162,0.06671176364104074
Justice - D.A.N.C.E.mp3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",0.011667778843822434,0.09255408574083081
"Daft Punk - Harder, Better, Faster, Stronger.mp3",Justice - D.A.N.C.E.mp3,0.011667778843822434,0.09255408574083081
RL Grime - Pressure (Valentino Khan Remix).mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.012140667601870334,0.02409752380952381
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.012140667601870334,0.02409752380952381
Disclosure - Omen (Jonas Rathsman Remix).mp3,Claptone - Cream.mp3,0.01220184119162969,0.033314723307806965
Claptone - Cream.mp3,Disclosure - Omen (Jonas Rathsman Remix).mp3,0.01220184119162969,0.033314723307806965
Dillon Francis - EDM O'CLOCK.mp3,Beyonce - Formation.mp3,0.012490718945245286,0.00886210091336935
Beyonce - Formation.mp3,Dillon Francis - EDM O'CLOCK.mp3,0.012490718945245286,0.00886210091336935
Four Tet - Baby.mp3,Four Tet - Planet.mp3,0.012651338668948905,0.0006536308009733461
Four Tet - Planet.mp3,Four Tet - Baby.mp3,0.012651338668948905,0.0006536308009733461
Juelz - Defqon Bounce.mp3,J Balvin - Mi Gente.mp3,0.012901749133768875,0.09334569470197293
J Balvin - Mi Gente.mp3,Juelz - Defqon Bounce.mp3,0.012901749133768875,0.09334569470197293
Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,Travis Scott - SICKO MODE.mp3,0.013039772584607064,0.033186917196008484
Travis Scott - SICKO MODE.mp3,Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,0.013039772584607064,0.033186917196008484
Skrillex - Midnight Hour.mp3,Four Tet - Baby.mp3,0.013189717133348869,0.008636428582768484
Four Tet - Baby.mp3,Skrillex - Midnight Hour.mp3,0.013189717133348869,0.008636428582768484
Tchami - Prophecy.mp3,ODESZA - Loyal.mp3,0.013375673095217241,0.11961634455394869
ODESZA - Loyal.mp3,Tchami - Prophecy.mp3,0.013375673095217241,0.11961634455394869
Backstreet Boys - Everybody (Backstreet's Back).mp3,FISHER - You Little Beauty.mp3,0.01373428576772077,0.14780459355125386
FISHER - You Little Beauty.mp3,Backstreet Boys - Everybody (Backstreet's Back).mp3,0.01373428576772077,0.14780459355125386
Four Tet - Only Human.mp3,Denzel Curry - SPEEDBOAT.mp3,0.014062379563894417,0.05813982553053211
Denzel Curry - SPEEDBOAT.mp3,Four Tet - Only Human.mp3,0.014062379563894417,0.05813982553053211
Seven Lions - Strangers.mp3,Drake - Get It Together.mp3,0.014107764184127654,0.0565477884091668
Drake - Get It Together.mp3,Seven Lions - Strangers.mp3,0.014107764184127654,0.0565477884091668
Bicep - Just.mp3,Four Tet - Planet.mp3,0.014248521224242163,0.05817403043282619
Four Tet - Planet.mp3,Bicep - Just.mp3,0.014248521224242163,0.05817403043282619
Getter - Something New.mp3,Backstreet Boys - I Want It That Way.mp3,0.014975333964019252,0.10013664085672683
Backstreet Boys - I Want It That Way.mp3,Getter - Something New.mp3,0.014975333964019252,0.10013664085672683
Chris Lake - I Want You.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.014985946914554831,0.01593803174603171
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Chris Lake - I Want You.mp3,0.014985946914554831,0.01593803174603171
RL Grime - Pressure (Valentino Khan Remix).mp3,Skrillex - Midnight Hour.mp3,0.014995726516233446,0.00026988839321156094
Skrillex - Midnight Hour.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.014995726516233446,0.00026988839321156094
Jamie xx - SeeSaw (Club Version).mp3,Kid Cudi - Pursuit of Happiness.mp3,0.015053553853170401,0.08444876254586778
Kid Cudi - Pursuit of Happiness.mp3,Jamie xx - SeeSaw (Club Version).mp3,0.015053553853170401,0.08444876254586778
