track,bpm,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B
Kanye West - Flashing Lights.mp3,90.48200000000001,0.036953758999999996,0.139994134,0.115553818,0.031185844,0.039300029,0.026493303,0.160132955,0.062567211,0.08407469,0.11154560599999999,0.043014957,0.149183693
Disclosure - Holding On.mp3,124.00399999999999,0.104695806,0.050206734,0.11983166,0.012404017,0.040165387000000004,0.318738925,0.008047844,0.036769049,0.034997047,0.131349675,0.09000295300000001,0.05279090400000001
Disclosure - Latch.mp3,121.986,0.14347984,0.060933527,0.025517617000000003,0.150653832,0.028151107999999998,0.11632764300000001,0.020704686,0.027878677999999997,0.17608063899999998,0.060751907,0.133490737,0.056029786
Four Tet - Baby.mp3,127.066,0.140537219,0.026422051000000002,0.18390098300000002,0.066186798,0.034936798,0.138957163,0.007636938,0.100333567,0.052317416,0.175298455,0.021418539,0.052054073
Kodak Black - Patty Cake.mp3,152.094,0.023424294,0.101666264,0.050953875999999995,0.067616518,0.181115673,0.059285197000000005,0.12231345099999999,0.037430572,0.15189567699999998,0.026322144,0.014489253999999998,0.16348708
Chrome Sparks - Wake.mp3,119.99700000000001,0.026954812999999998,0.06459725,0.11842829099999999,0.006051081,0.067897839,0.016031434,0.22019646399999998,0.038506876,0.112455796,0.14836935199999998,0.016031434,0.16447937099999999
Beyonce - Formation.mp3,121.96600000000001,0.098816901,0.053859155,0.045183099000000004,0.078197183,0.033014085,0.25239436600000004,0.06095774599999999,0.11256338,0.053859155,0.06433802799999999,0.09543662,0.051380282
Ekali - Unfaith.mp3,132.05,0.09354479,0.032214099999999996,0.085243464,0.012266138000000001,0.10382852199999999,0.053648865999999996,0.046214843,0.084747863,0.02589518,0.198860116,0.010035931,0.253500186
Bonobo - Linked.mp3,122.041,0.022623012999999997,0.221831207,0.012505499,0.10287186599999999,0.00553007,0.147677999,0.144787281,0.0069125869999999996,0.023377112999999998,0.004336077,0.301011751,0.006535536999999999
Against All Logic - You Are Going to Love Me and Scream.mp3,124.978,0.038581423,0.058183833,0.014545958000000001,0.248528088,0.065526079,0.053681513,0.020502875,0.028676318,0.145390317,0.068573803,0.19297638,0.064833414
The Weeknd - Blinding Lights.mp3,85.5025,0.129990715,0.013231198000000001,0.048050139000000006,0.171541318,0.011258124,0.332985144,0.007544104,0.131383473,0.037836583,0.010445682,0.095636026,0.010097493
The Weeknd - Snowchild.mp3,148.03799999999998,0.243095485,0.021773966000000002,0.19577717,0.020265812,0.190215854,0.154208691,0.005278537,0.105570742,0.006786691,0.043642191,0.00235649,0.011028372
AC Slater - Fly Kicks (Wax Motif Remix).mp3,125.024,0.028435624,0.233322215,0.186374249,0.013092061,0.029102735,0.034606404,0.160023349,0.058288859000000005,0.125250167,0.036274183,0.063792528,0.031437625
Cardi B - I Like It (Dillon Francis Remix).mp3,150.16299999999998,0.22061004,0.028595637,0.030078373,0.040775259,0.043317094,0.21711501800000002,0.031878839,0.083245075,0.080809151,0.088434654,0.090552849,0.044588011
Disclosure - When A Fire Starts To Burn.mp3,123.948,0.073889207,0.037640127999999995,0.10621062099999999,0.027820964,0.043531626,0.105801489,0.06922510400000001,0.10735619,0.127321823,0.177481385,0.042222404000000005,0.081499059
Chris Lake - I Want You.mp3,125.008,0.101853585,0.160363228,0.054296948,0.041471635,0.155214379,0.064969107,0.079760345,0.046620483,0.106721588,0.106347126,0.038101479,0.044280097000000004
Chris Lake - Y.O.D.O.mp3,124.023,0.074815595,0.011415525,0.067615033,0.035212504,0.04970144,0.039076221,0.012557078000000001,0.060414471,0.05628732,0.465841236,0.07253249,0.054531085
Claptone - Cream.mp3,120.007,0.097294083,0.009812666999999999,0.05019328,0.17151353,0.06779661,0.293428486,0.01254832,0.031638418,0.160808802,0.055664585,0.020041629,0.02925959
Drake - Nice For What.mp3,93.39399999999999,0.118087685,0.047257105,0.037343027,0.090548579,0.045825072,0.115003305,0.027539106,0.029962547000000003,0.149261952,0.106741573,0.17261511300000001,0.059814937
FISHER - Losing It.mp3,125.0,0.067864832,0.016100346,0.10184405099999999,0.032575119,0.013853786000000002,0.036787419,0.011420013,0.360198446,0.219133202,0.080969765,0.026022653,0.033230366000000004
Corona - Rhythm Of The Night (Blonde Remix).mp3,123.046875,0.20991724399999998,0.01554195,0.020520756,0.060754895,0.020588037,0.17647850399999998,0.038417547,0.23783892899999998,0.042252574,0.028056247000000003,0.11054295900000001,0.039090359
Disclosure - Omen (Jonas Rathsman Remix).mp3,124.005,0.116655337,0.018581464,0.012236573999999998,0.21785633399999998,0.029775662999999997,0.293269884,0.004078858,0.035440743,0.216723317,0.008973486999999999,0.044278269,0.00213007
Disclosure - Stimulation.mp3,128.998,0.22315728399999998,0.063551944,0.07225769,0.044471851,0.018427162,0.039320952,0.015597795,0.06485780599999999,0.010737086000000002,0.17455020300000001,0.151842716,0.12122751
Meek Mill - Going Bad.mp3,86.00299999999999,0.054625097000000004,0.061066735,0.029373872999999998,0.025766555,0.10152022699999999,0.021772739,0.157820149,0.20819376399999998,0.021386241,0.037748002999999995,0.038392167000000005,0.24233445
Dusky - Perth Remix.mp3,124.99600000000001,0.376674002,0.00987111,0.06362779,0.044954417,0.006098711,0.080352091,0.008236404000000001,0.068217542,0.087771141,0.128701666,0.121911349,0.003583779
Ginuwine - Pony.mp3,142.024,0.122439564,0.131481823,0.060343237,0.027680384,0.06560251,0.030448422000000003,0.127883373,0.032386049,0.16036169,0.04364273900000001,0.078243218,0.11948699
FISHER - You Little Beauty.mp3,123.98700000000001,0.10055448300000001,0.044607812999999996,0.08572674599999999,0.029717775,0.030776899,0.12167466199999999,0.037816958,0.072768052,0.059560152000000005,0.125599651,0.22933150600000002,0.061865304
Dillon Francis - Get Low.mp3,101.03299999999999,0.050135648,0.064894194,0.047748237,0.023874118,0.11318502400000001,0.040043407,0.037764514,0.038090071,0.075963104,0.340965817,0.119587629,0.047748237
Flume - Holdin' On.mp3,90.053,0.220718689,0.067658999,0.034731619,0.09517365800000001,0.07307171900000001,0.098782138,0.039693279,0.06540369900000001,0.140881071,0.068861825,0.069914299,0.025109006
Flume - HyperParadise.mp3,145.447,0.020508827,0.12279335400000001,0.015662858999999998,0.141225337,0.019124264,0.03911388,0.09138110099999999,0.019989616,0.063949463,0.12495673199999999,0.307632399,0.033662167
Flume - Never Be Like You (Disclosure Remix).mp3,119.984,0.019690722,0.031340206,0.16628866,0.12659793800000002,0.067113402,0.037731959,0.015773196,0.114226804,0.06773195900000001,0.226804124,0.10247422699999999,0.024226803999999998
Flume - You & Me.mp3,150.13,0.19137931,0.13243021300000002,0.02816092,0.045730705999999996,0.027339901,0.199835796,0.011986864,0.004433498,0.046387520999999994,0.068144499,0.19228243,0.051888342000000004
George Fitzgerald - Burns.mp3,123.993,0.020934272,0.056769357,0.404058872,0.004296554,0.049913155,0.0054849619999999995,0.135204315,0.022031264,0.01151842,0.13639272300000002,0.002468233,0.15092787300000002
Gesaffelstein - Hate Or Glory.mp3,102.98700000000001,0.013024602,0.081283164,0.364367262,0.030631934,0.029184756,0.008361473000000001,0.146647371,0.08739347199999999,0.031677119,0.041244573,0.13072841300000002,0.035455861
J Balvin - Mi Gente.mp3,104.959,0.066415763,0.015164931999999999,0.089882665,0.062320124000000005,0.191277397,0.051472215999999994,0.15574496300000001,0.09054682300000001,0.0297764,0.09010405099999999,0.024795217999999997,0.132499447
Mr. Carmack - Pay For What.mp3,148.02100000000002,0.06863934,0.012975988,0.036866359,0.06209071099999999,0.118360417,0.046325490999999996,0.08234295400000001,0.053723017000000005,0.081372787,0.051540141,0.004123211,0.38163958299999995
Justice - D.A.N.C.E.mp3,113.015,0.069094394,0.10598945900000001,0.063152851,0.068615237,0.135793004,0.027407762000000002,0.152850982,0.02798275,0.06765692400000001,0.152180163,0.031241016,0.098035458
